Training Result



Currently using device=cuda
Batches per file: 3.3K
Batches per epoch (training): 133.5K
Batches per epoch (val): 9.8K
14.71 M parameters
Load checkpoint? [Y/N]: n
At step=0, Train Loss=7.8584, Val Loss=7.8536, Took 5s
At step=100, Train Loss=5.2626, Val Loss=5.2599, Took 108s
At step=200, Train Loss=4.3201, Val Loss=4.3265, Took 108s
At step=300, Train Loss=3.8741, Val Loss=3.9012, Took 108s
At step=400, Train Loss=3.6494, Val Loss=3.6177, Took 108s
At step=500, Train Loss=3.4799, Val Loss=3.4559, Took 108s
At step=600, Train Loss=3.3933, Val Loss=3.3780, Took 108s
At step=700, Train Loss=3.3273, Val Loss=3.3196, Took 108s
At step=800, Train Loss=3.2521, Val Loss=3.2666, Took 116s
At step=900, Train Loss=3.2014, Val Loss=3.2107, Took 108s
At step=1000, Train Loss=3.1554, Val Loss=3.1459, Took 108s
Saving Model at step=1000
At step=1100, Train Loss=3.0847, Val Loss=3.0722, Took 108s
At step=1200, Train Loss=3.0232, Val Loss=3.0067, Took 116s
At step=1300, Train Loss=2.9618, Val Loss=2.9530, Took 108s
At step=1400, Train Loss=2.8758, Val Loss=2.8948, Took 108s
At step=1500, Train Loss=2.8146, Val Loss=2.8309, Took 108s
At step=1600, Train Loss=2.7648, Val Loss=2.7819, Took 115s
At step=1700, Train Loss=2.7168, Val Loss=2.7311, Took 108s
At step=1800, Train Loss=2.6405, Val Loss=2.6991, Took 108s
At step=1900, Train Loss=2.6138, Val Loss=2.6360, Took 108s
At step=2000, Train Loss=2.5885, Val Loss=2.5765, Took 117s
Saving Model at step=2000
At step=2100, Train Loss=2.5132, Val Loss=2.5410, Took 109s
At step=2200, Train Loss=2.4802, Val Loss=2.4872, Took 108s
At step=2300, Train Loss=2.4019, Val Loss=2.4389, Took 108s
At step=2400, Train Loss=2.3484, Val Loss=2.4010, Took 117s
At step=2500, Train Loss=2.3434, Val Loss=2.3702, Took 108s
At step=2600, Train Loss=2.3250, Val Loss=2.3218, Took 108s
At step=2700, Train Loss=2.2584, Val Loss=2.3034, Took 116s
At step=2800, Train Loss=2.2301, Val Loss=2.2750, Took 108s
At step=2900, Train Loss=2.2072, Val Loss=2.2509, Took 108s
At step=3000, Train Loss=2.1971, Val Loss=2.2555, Took 108s
Saving Model at step=3000
At step=3100, Train Loss=2.1776, Val Loss=2.2217, Took 116s
At step=3200, Train Loss=2.1464, Val Loss=2.2151, Took 108s
At step=3300, Train Loss=2.1159, Val Loss=2.1894, Took 108s
At step=3400, Train Loss=2.1179, Val Loss=2.1748, Took 108s
At step=3500, Train Loss=2.1076, Val Loss=2.1585, Took 117s
At step=3600, Train Loss=2.0741, Val Loss=2.1547, Took 108s
At step=3700, Train Loss=2.1379, Val Loss=2.1491, Took 108s
At step=3800, Train Loss=2.1210, Val Loss=2.1145, Took 108s
At step=3900, Train Loss=2.0856, Val Loss=2.1044, Took 117s
At step=4000, Train Loss=2.0764, Val Loss=2.0906, Took 108s
Saving Model at step=4000
At step=4100, Train Loss=2.0547, Val Loss=2.0664, Took 108s
At step=4200, Train Loss=2.0282, Val Loss=2.0715, Took 108s
At step=4300, Train Loss=2.0182, Val Loss=2.0616, Took 116s
At step=4400, Train Loss=2.0228, Val Loss=2.0440, Took 108s
At step=4500, Train Loss=2.0134, Val Loss=2.0419, Took 108s
At step=4600, Train Loss=1.9952, Val Loss=2.0206, Took 108s
At step=4700, Train Loss=2.0016, Val Loss=2.0251, Took 116s
At step=4800, Train Loss=1.9846, Val Loss=2.0262, Took 108s
At step=4900, Train Loss=1.9666, Val Loss=1.9974, Took 108s
